"","nflId","game_play_frameId","gameId","playId","frameId","displayName","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","game_playId","dist_from_ball","defensiveTeam","on_defense","has_ball","dist_from_bc"
"24",38559,"2022091112-2723-8",2022091112,2723,8,"Harrison Smith","2022-09-11 18:46:30.599999",22,"MIN","left",61.14,49.24,7.17,2.75,0.73,31.87,32.78,"first_contact","2022091112-2723",0,"MIN",1,0,0.5879626
"38",42388,"2022091112-3128-22",2022091112,3128,22,"Eric Kendricks","2022-09-11 19:06:13.700000",54,"MIN","left",82.46,47.19,2.51,5.02,0.26,31.13,338.72,"first_contact","2022091112-3128",0,"MIN",1,0,0.6185467
"97",46652,"2022091112-3152-8",2022091112,3152,8,"Chandon Sullivan","2022-09-11 19:06:42.599999",39,"MIN","left",73.05,32.04,4.95,3.99,0.52,191.2,193.45,"first_contact","2022091112-3152",0,"MIN",1,0,0.6527634
"25",38559,"2022091112-3176-25",2022091112,3176,25,"Harrison Smith","2022-09-11 19:07:08.799999",22,"MIN","left",66.14,48.1,1.57,2.83,0.14,132.71,237.7,"first_contact","2022091112-3176",0,"MIN",1,0,0.8338465
"98",52497,"2022091112-3200-17",2022091112,3200,17,"Cameron Dantzler","2022-09-11 19:07:50.599999",3,"MIN","left",59.25,5.59,5.49,1.67,0.55,92.84,168.76,"first_contact","2022091112-3200",0,"MIN",1,0,0.68593
"85",52497,"2022091112-3246-12",2022091112,3246,12,"Cameron Dantzler","2022-09-11 19:09:12.900000",3,"MIN","left",54.17,19.31,2.6,6.25,0.27,41.6,102.98,"first_contact","2022091112-3246",0,"MIN",1,0,1.146298
"102",52497,"2022091112-3332-19",2022091112,3332,19,"Cameron Dantzler","2022-09-11 19:11:30.900000",3,"MIN","left",27.19,0.52,2.6,5.56,0.28,114.13,162.48,"first_contact","2022091112-3332",0,"MIN",1,0,1.050048
"15",35470,"2022091105-101-27",2022091105,101,27,"Jerry Hughes","2022-09-11 13:06:03.900000",55,"HOU","left",78.62,30.43,3.23,1.05,0.34,186.86,171.06,"first_contact","2022091105-101",0,"HOU",1,0,2.366812
"74",46669,"2022091105-1170-38",2022091105,1170,38,"Jonathan Owens","2022-09-11 13:51:52.799999",36,"HOU","right",62.18,2.37,6.12,2.33,0.62,186.85,183.44,"first_contact","2022091105-1170",0,"HOU",1,0,1.795132
"67",46229,"2022091105-1194-31",2022091105,1194,31,"Ogbonnia Okoronkwo","2022-09-11 13:52:26.200000",45,"HOU","right",62.09,17.82,3.11,1.34,0.32,195.03,169.22,"first_contact","2022091105-1194",0,"HOU",1,0,1.239758
"26",42441,"2022091105-1215-39",2022091105,1215,39,"Steven Nelson","2022-09-11 13:53:05.200000",21,"HOU","right",67.54,21.18,4.18,3.5,0.42,330.77,348.26,"first_contact","2022091105-1215",0,"HOU",1,0,0.9234717
"103",54468,"2022091105-1236-49",2022091105,1236,49,"Derek Stingley","2022-09-11 13:53:49.599999",24,"HOU","right",79,43.39,4.78,1.49,0.47,169.24,81.97,"first_contact","2022091105-1236",0,"HOU",1,0,1.798889
"39",42441,"2022091105-1259-13",2022091105,1259,13,"Steven Nelson","2022-09-11 13:54:30.000000",21,"HOU","right",87.33,2.7,5.96,2.36,0.61,251.86,238.04,"first_contact","2022091105-1259",0,"HOU",1,0,1.967054
"310",43497,"2022091105-1456-11",2022091105,1456,11,"Kamu Grugier-Hill","2022-09-11 14:06:00.900000",51,"HOU","right",39.9,29.52,4.08,1.85,0.4,238.47,241.53,"first_contact","2022091105-1456",0,"HOU",1,0,1.534438
"86",53712,"2022091105-1480-28",2022091105,1480,28,"Michael Dwumfour","2022-09-11 14:06:20.099999",50,"HOU","right",38.92,29.71,3.85,2.03,0.39,256.48,351.04,"first_contact","2022091105-1480",0,"HOU",1,0,1.916716
"49",43497,"2022091105-1518-8",2022091105,1518,8,"Kamu Grugier-Hill","2022-09-11 14:09:36.400000",51,"HOU","right",47.26,39.34,2.21,2.55,0.21,210.99,206.66,"first_contact","2022091105-1518",0,"HOU",1,0,1.162755
"104",54502,"2022091105-1542-7",2022091105,1542,7,"Jalen Pitre","2022-09-11 14:09:54.799999",5,"HOU","right",51.51,49.14,8.36,1.39,0.84,351.54,334.87,"first_contact","2022091105-1542",0,"HOU",1,0,1.284134
"75",46669,"2022091105-1589-12",2022091105,1589,12,"Jonathan Owens","2022-09-11 14:11:35.400000",36,"HOU","right",75.01,30.22,3.09,5.15,0.29,284.85,261.73,"first_contact","2022091105-1589",0,"HOU",1,0,1.91888
"52",43497,"2022091105-1613-11",2022091105,1613,11,"Kamu Grugier-Hill","2022-09-11 14:11:57.000000",51,"HOU","right",79.37,44.12,6.17,2.03,0.62,13.38,350.38,"first_contact","2022091105-1613",0,"HOU",1,0,1.149826
"27",41300,"2022091105-2100-35",2022091105,2100,35,"Christian Kirksey","2022-09-11 14:42:13.400000",58,"HOU","left",83.8,32.57,2.47,3.91,0.25,119.18,40.56,"first_contact","2022091105-2100",0,"HOU",1,0,1.951333
"76",46669,"2022091105-2132-39",2022091105,2132,39,"Jonathan Owens","2022-09-11 14:43:06.000000",36,"HOU","left",73.67,26.15,2.36,4.85,0.25,118.09,61.61,"first_contact","2022091105-2132",0,"HOU",1,0,1.370584
"53",43356,"2022091105-2153-37",2022091105,2153,37,"Maliek Collins","2022-09-11 14:43:47.099999",96,"HOU","left",68.98,25.17,1.07,0.31,0.1,164.03,25.67,"first_contact","2022091105-2153",0,"HOU",1,0,1.140614
"105",54502,"2022091105-2196-22",2022091105,2196,22,"Jalen Pitre","2022-09-11 14:45:07.000000",5,"HOU","left",63.61,45.69,2.27,7.43,0.25,112.3,78.02,"first_contact","2022091105-2196",0,"HOU",1,0,1.221966
"410",43356,"2022091105-228-29",2022091105,228,29,"Maliek Collins","2022-09-11 13:12:13.500000",96,"HOU","left",84.41,26.89,1.43,3.55,0.14,97.66,119.1,"first_contact","2022091105-228",0,"HOU",1,0,2.100095
"16",41300,"2022091105-2303-33",2022091105,2303,33,"Christian Kirksey","2022-09-11 14:51:05.200000",58,"HOU","left",57.89,24.25,1.85,6.47,0.19,17.07,23.3,"first_contact","2022091105-2303",0,"HOU",1,0,0.7720104
"106",54468,"2022091105-249-15",2022091105,249,15,"Derek Stingley","2022-09-11 13:12:57.099999",24,"HOU","left",69.17,27.38,8.22,2,0.83,19.76,20.39,"first_contact","2022091105-249",0,"HOU",1,0,0.7256721
"54",43497,"2022091105-2544-19",2022091105,2544,19,"Kamu Grugier-Hill","2022-09-11 15:03:22.599999",51,"HOU","left",80.76,44.11,6.89,3.52,0.69,44.91,23.01,"first_contact","2022091105-2544",0,"HOU",1,0,1.632483
"107",54468,"2022091105-273-47",2022091105,273,47,"Derek Stingley","2022-09-11 13:13:29.799999",24,"HOU","left",67.38,10.14,2.94,3.78,0.31,123.21,158.62,"first_contact","2022091105-273",0,"HOU",1,0,1.008464
"108",54502,"2022091105-294-39",2022091105,294,39,"Jalen Pitre","2022-09-11 13:14:02.599999",5,"HOU","left",60.45,28.23,2.82,3.46,0.28,77.38,38.71,"first_contact","2022091105-294",0,"HOU",1,0,1.676932
"77",46669,"2022091105-3046-11",2022091105,3046,11,"Jonathan Owens","2022-09-11 15:23:17.200000",36,"HOU","right",54.43,39.28,3.66,3.47,0.38,306.5,314.43,"first_contact","2022091105-3046",0,"HOU",1,0,2.142545
"55",43497,"2022091105-3070-14",2022091105,3070,14,"Kamu Grugier-Hill","2022-09-11 15:23:46.500000",51,"HOU","right",61.72,43.45,6.25,2.15,0.62,40.5,33.86,"first_contact","2022091105-3070",0,"HOU",1,0,0.7983107
"411",44964,"2022091105-3094-11",2022091105,3094,11,"Desmond King","2022-09-11 15:24:29.799999",25,"HOU","right",85.54,17.13,5.13,2.35,0.52,46.72,69.46,"first_contact","2022091105-3094",0,"HOU",1,0,1.299577
"113",54502,"2022091105-3118-37",2022091105,3118,37,"Jalen Pitre","2022-09-11 15:25:02.599999",5,"HOU","right",95.86,27.41,4.32,1.86,0.44,329.32,349.94,"first_contact","2022091105-3118",0,"HOU",1,0,1.964205
"311",43497,"2022091105-3139-18",2022091105,3139,18,"Kamu Grugier-Hill","2022-09-11 15:25:41.599999",51,"HOU","right",103.86,45.94,4.67,2.86,0.46,342.44,341.85,"first_contact","2022091105-3139",0,"HOU",1,0,1.559263
"312",43497,"2022091105-315-20",2022091105,315,20,"Kamu Grugier-Hill","2022-09-11 13:14:46.900000",51,"HOU","left",58.58,43.71,3.06,2.82,0.29,218.66,173.82,"first_contact","2022091105-315",0,"HOU",1,0,2.046851
"99",53712,"2022091105-3345-45",2022091105,3345,45,"Michael Dwumfour","2022-09-11 15:35:47.900000",50,"HOU","right",91.71,23.67,5.04,1.88,0.53,125.56,117.66,"first_contact","2022091105-3345",0,"HOU",1,0,1.779916
"17",41300,"2022091105-3366-39",2022091105,3366,39,"Christian Kirksey","2022-09-11 15:36:23.400000",58,"HOU","right",98.34,19.87,5.94,3.7,0.59,236.07,178.55,"first_contact","2022091105-3366",0,"HOU",1,0,1.463489
"313",42441,"2022091105-3387-7",2022091105,3387,7,"Steven Nelson","2022-09-11 15:37:05.900000",21,"HOU","right",106.12,12.13,3.79,1.75,0.37,262.81,11.17,"first_contact","2022091105-3387",0,"HOU",1,0,1.316435
"910",53712,"2022091105-3413-27",2022091105,3413,27,"Michael Dwumfour","2022-09-11 15:37:48.400000",50,"HOU","right",106.31,26.61,3.58,1.66,0.37,263.67,357.42,"first_contact","2022091105-3413",0,"HOU",1,0,1.52345
"18",35470,"2022091105-358-31",2022091105,358,31,"Jerry Hughes","2022-09-11 13:16:02.700000",55,"HOU","left",56.81,26.77,2.65,3.71,0.27,72.41,167.8,"first_contact","2022091105-358",0,"HOU",1,0,1.10218
"314",42441,"2022091105-3625-7",2022091105,3625,7,"Steven Nelson","2022-09-11 15:47:41.599999",21,"HOU","right",44.8,17.18,4.92,3.87,0.49,330.26,5.57,"first_contact","2022091105-3625",0,"HOU",1,0,1.018725
"911",53624,"2022091105-3649-26",2022091105,3649,26,"Roy Lopez","2022-09-11 15:48:13.099999",91,"HOU","right",44.67,23.74,1,2.26,0.1,308.76,235.6,"first_contact","2022091105-3649",0,"HOU",1,0,1.636857
"28",41300,"2022091105-3670-45",2022091105,3670,45,"Christian Kirksey","2022-09-11 15:48:48.799999",58,"HOU","right",64.39,19.91,6.06,3.88,0.62,123.36,109.77,"first_contact","2022091105-3670",0,"HOU",1,0,0.8672946
"19",41300,"2022091105-3691-34",2022091105,3691,34,"Christian Kirksey","2022-09-11 15:49:23.500000",58,"HOU","right",69.63,20.88,1.53,4.63,0.18,295.3,219.16,"first_contact","2022091105-3691",0,"HOU",1,0,1.60602
"78",46796,"2022091105-3712-31",2022091105,3712,31,"Demone Harris","2022-09-11 15:49:52.099999",94,"HOU","right",80.28,20.6,3.73,3.32,0.38,244.41,190.9,"first_contact","2022091105-3712",0,"HOU",1,0,1.275343
"315",42441,"2022091105-3750-21",2022091105,3750,21,"Steven Nelson","2022-09-11 15:53:10.599999",21,"HOU","right",103.76,8.16,2.86,1.72,0.29,36.2,30.42,"first_contact","2022091105-3750",0,"HOU",1,0,1.681814
"68",44964,"2022091105-379-7",2022091105,379,7,"Desmond King","2022-09-11 13:16:45.599999",25,"HOU","left",46.53,31.47,6.32,1.5,0.63,170.17,168.55,"first_contact","2022091105-379",0,"HOU",1,0,0.7247068
"109",54468,"2022091105-3971-7",2022091105,3971,7,"Derek Stingley","2022-09-11 16:00:49.700000",24,"HOU","right",33.47,50.71,6.37,0.95,0.64,312.33,311.85,"first_contact","2022091105-3971",0,"HOU",1,0,1.204159
"56",44964,"2022091105-3995-17",2022091105,3995,17,"Desmond King","2022-09-11 16:01:25.599999",25,"HOU","right",40.95,22.13,4.74,6.03,0.47,7.84,347.9,"first_contact","2022091105-3995",0,"HOU",1,0,1.368832
"69",43497,"2022091105-403-34",2022091105,403,34,"Kamu Grugier-Hill","2022-09-11 13:17:21.799999",51,"HOU","left",43.35,32.44,3.51,4.82,0.36,127.01,35.85,"first_contact","2022091105-403",0,"HOU",1,0,1.547676
"1010",54468,"2022091105-4041-20",2022091105,4041,20,"Derek Stingley","2022-09-11 16:03:08.799999",24,"HOU","right",53.98,48.66,5.69,4.41,0.57,352.38,337.3,"first_contact","2022091105-4041",0,"HOU",1,0,1.560417
"87",52498,"2022091105-424-26",2022091105,424,26,"Jonathan Greenard","2022-09-11 13:18:06.099999",52,"HOU","left",43.92,28.88,5.86,4.13,0.59,192.45,173.32,"first_contact","2022091105-424",0,"HOU",1,0,0.5755867
"57",43497,"2022091105-4352-42",2022091105,4352,42,"Kamu Grugier-Hill","2022-09-11 16:15:22.000000",51,"HOU","right",40.1,20.29,6.06,1.17,0.6,258.13,201.2,"first_contact","2022091105-4352",0,"HOU",1,0,1.406023
"412",43356,"2022091105-4373-29",2022091105,4373,29,"Maliek Collins","2022-09-11 16:16:10.200000",96,"HOU","right",49.51,4.4,8.24,2.98,0.85,176.4,172.57,"first_contact","2022091105-4373",0,"HOU",1,0,0.9525755
"114",54502,"2022091105-4438-9",2022091105,4438,9,"Jalen Pitre","2022-09-11 16:18:20.400000",5,"HOU","right",61.58,33.47,2.39,2.63,0.23,222.68,206.17,"first_contact","2022091105-4438",0,"HOU",1,0,1.873953
"58",43497,"2022091105-445-12",2022091105,445,12,"Kamu Grugier-Hill","2022-09-11 13:18:50.900000",51,"HOU","left",36.82,27.06,4.45,2.9,0.44,149.2,132.1,"first_contact","2022091105-445",0,"HOU",1,0,1.57035
"413",43497,"2022091105-4488-10",2022091105,4488,10,"Kamu Grugier-Hill","2022-09-11 16:19:46.799999",51,"HOU","right",69.14,23.03,7.36,2.28,0.73,29.55,31.38,"first_contact","2022091105-4488",0,"HOU",1,0,0.557853
"29",41300,"2022091105-4512-31",2022091105,4512,31,"Christian Kirksey","2022-09-11 16:20:27.099999",58,"HOU","right",72.32,26.84,2.43,1.62,0.24,265.42,318.86,"first_contact","2022091105-4512",0,"HOU",1,0,0.6161169
"79",52498,"2022091105-4557-35",2022091105,4557,35,"Jonathan Greenard","2022-09-11 16:21:49.900000",52,"HOU","right",86.64,21.7,3.72,0.26,0.43,181.77,163.82,"first_contact","2022091105-4557",0,"HOU",1,0,1.070747
